Category,Metric,Value,Method
Kinematic Fidelity,safd_wasserstein,0.0003239856622993102,CSDI
Kinematic Fidelity,vsp_kl_divergence,0.006969182258358477,CSDI
Kinematic Fidelity,vsp_wasserstein,0.6072464244916772,CSDI
Kinematic Fidelity,ldlj_wasserstein,0.7806282010707565,CSDI
Kinematic Fidelity,jerk_max_mean_synth,0.8370612431253879,CSDI
Statistical Fidelity,speed_wasserstein,0.9013938365500116,CSDI
Statistical Fidelity,accel_wasserstein,0.04279036438834148,CSDI
Statistical Fidelity,mmd,0.010092810973663092,CSDI
Statistical Fidelity,speed_ks_statistic,0.07482576535715946,CSDI
Statistical Fidelity,accel_ks_statistic,0.031066560030922785,CSDI
Temporal Fidelity,tstr_mae,0.5622252936435991,CSDI
Temporal Fidelity,tstr_ratio,1.305292184835108,CSDI
Boundary Conditions,boundary_any_violation_rate,0.0,CSDI
Boundary Conditions,boundary_start_speed_max,0.0,CSDI
Boundary Conditions,boundary_end_speed_max,0.0,CSDI
Physical Plausibility,phys_speed_violation_rate,0.0,CSDI
Physical Plausibility,phys_accel_violation_rate,0.049,CSDI
Physical Plausibility,phys_negative_speed_rate,0.0,CSDI
Utility,discriminative_score,0.49634034766697166,CSDI
Utility,discriminative_auc,0.9999496288441144,CSDI
